S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,File Name,Constituency,State
9,DEEPAK KUMAR BANSAL (RANG WALE),Independent,2448,-,2448,0.18,3 - GWALIOR (Madhya Pradesh),3 - GWALIOR,Madhya Pradesh
10,SHREE NARESH CHANDRA SHARMA,Independent,2215,1,2216,0.16,3 - GWALIOR (Madhya Pradesh),3 - GWALIOR,Madhya Pradesh
11,GAJENDRA SINGH,Independent,1343,5,1348,0.1,3 - GWALIOR (Madhya Pradesh),3 - GWALIOR,Madhya Pradesh
12,ANJALI MONU RAWAT,Parivartan Party of India,1272,7,1279,0.1,3 - GWALIOR (Madhya Pradesh),3 - GWALIOR,Madhya Pradesh
13,ADVOCATE MUKESH KUMAR KORI,Independent,1130,4,1134,0.08,3 - GWALIOR (Madhya Pradesh),3 - GWALIOR,Madhya Pradesh
14,RAM PRAKASH SINGH PAL,Rashtra Uday Party,1059,12,1071,0.08,3 - GWALIOR (Madhya Pradesh),3 - GWALIOR,Madhya Pradesh
15,CHANDAN RATHORE,Parivartan Samaj Party,1053,6,1059,0.08,3 - GWALIOR (Madhya Pradesh),3 - GWALIOR,Madhya Pradesh
16,DR. P. D. AGARWAL SR. MEDICAL CONSULTANT,Independent,1016,5,1021,0.08,3 - GWALIOR (Madhya Pradesh),3 - GWALIOR,Madhya Pradesh
17,AMIT PARIHAR,Independent,877,6,883,0.07,3 - GWALIOR (Madhya Pradesh),3 - GWALIOR,Madhya Pradesh
18,COMRADE RACHNA AGRAWAL,Socialist Unity Centre Of India (COMMUNIST),798,5,803,0.06,3 - GWALIOR (Madhya Pradesh),3 - GWALIOR,Madhya Pradesh
19,MUNESH NAGAR,Vikas India Party,667,5,672,0.05,3 - GWALIOR (Madhya Pradesh),3 - GWALIOR,Madhya Pradesh
20,NOTA,None of the Above,3309,32,3341,0.25,3 - GWALIOR (Madhya Pradesh),3 - GWALIOR,Madhya Pradesh
1,ANURAG SINGH THAKUR,Bharatiya Janata Party,593055,14013,607068,57.97,3 - HAMIRPUR (Himachal Pradesh),3 - HAMIRPUR,Himachal Pradesh
2,SATPAL RAIZADA,Indian National Congress,414828,9883,424711,40.55,3 - HAMIRPUR (Himachal Pradesh),3 - HAMIRPUR,Himachal Pradesh
3,HEM RAJ,Bahujan Samaj Party,2694,64,2758,0.26,3 - HAMIRPUR (Himachal Pradesh),3 - HAMIRPUR,Himachal Pradesh
4,JAGDEEP KUMAR,Rashtriya Devbhumi Party,1738,26,1764,0.17,3 - HAMIRPUR (Himachal Pradesh),3 - HAMIRPUR,Himachal Pradesh
5,SURENDER KUMAR GAUTAM,Independent,1401,9,1410,0.13,3 - HAMIRPUR (Himachal Pradesh),3 - HAMIRPUR,Himachal Pradesh
6,SUBEDAR MAJOR KULWANT SINGH PATIAL,Bharatheeya Jawan Kisan Party,1176,63,1239,0.12,3 - HAMIRPUR (Himachal Pradesh),3 - HAMIRPUR,Himachal Pradesh
7,NAND LAL,Independent,978,41,1019,0.1,3 - HAMIRPUR (Himachal Pradesh),3 - HAMIRPUR,Himachal Pradesh
8,SUMIT RANA,Akhil Bhartiya Parivar Party,666,9,675,0.06,3 - HAMIRPUR (Himachal Pradesh),3 - HAMIRPUR,Himachal Pradesh
9,RAMESH CHAND SARTHI,Independent,544,16,560,0.05,3 - HAMIRPUR (Himachal Pradesh),3 - HAMIRPUR,Himachal Pradesh
10,ARUN ANKESH SYAL,Ekam Sanatan Bharat Dal,412,21,433,0.04,3 - HAMIRPUR (Himachal Pradesh),3 - HAMIRPUR,Himachal Pradesh
11,GARIB DASS KATOCH,Independent,210,36,246,0.02,3 - HAMIRPUR (Himachal Pradesh),3 - HAMIRPUR,Himachal Pradesh
12,GOPI CHAND ATTARI,Independent,168,34,202,0.02,3 - HAMIRPUR (Himachal Pradesh),3 - HAMIRPUR,Himachal Pradesh
13,NOTA,None of the Above,5100,78,5178,0.49,3 - HAMIRPUR (Himachal Pradesh),3 - HAMIRPUR,Himachal Pradesh
1,SMITA UDAY WAGH,Bharatiya Janata Party,672119,2309,674428,57.67,3 - Jalgaon (Maharashtra),3 - Jalgaon,Maharashtra
2,KARAN BALASAHEB PATIL - PAWAR,Shiv Sena (Uddhav Balasaheb Thackrey),421213,1621,422834,36.15,3 - Jalgaon (Maharashtra),3 - Jalgaon,Maharashtra
3,YUVRAJ JADHAV (SAMBHA AAPPA),Vanchit Bahujan Aaghadi,21062,115,21177,1.81,3 - Jalgaon (Maharashtra),3 - Jalgaon,Maharashtra
4,EX-HAVILDAR ISHWAR DAYARAM MORE,Sainik Samaj Party,7479,69,7548,0.65,3 - Jalgaon (Maharashtra),3 - Jalgaon,Maharashtra
5,VILAS SHANKAR TAYADE,Bahujan Samaj Party,6310,71,6381,0.55,3 - Jalgaon (Maharashtra),3 - Jalgaon,Maharashtra
6,LALIT (BANTI) SHARMA,Independent,4189,3,4192,0.36,3 - Jalgaon (Maharashtra),3 - Jalgaon,Maharashtra
7,KARAN PAWAR,Independent,3954,29,3983,0.34,3 - Jalgaon (Maharashtra),3 - Jalgaon,Maharashtra
8,ADVOCATE VIJAY BABULAL DANEJ,Independent,3400,4,3404,0.29,3 - Jalgaon (Maharashtra),3 - Jalgaon,Maharashtra
9,MUKESH MULCHAND KOLI,Independent,3358,12,3370,0.29,3 - Jalgaon (Maharashtra),3 - Jalgaon,Maharashtra
10,MAHENDRA DEVRAM KOLI,Independent,2462,14,2476,0.21,3 - Jalgaon (Maharashtra),3 - Jalgaon,Maharashtra
11,AHMAD KHAN,Independent,1889,12,1901,0.16,3 - Jalgaon (Maharashtra),3 - Jalgaon,Maharashtra
12,ABDUL SHAKUR DESHPANDE,Independent,1593,13,1606,0.14,3 - Jalgaon (Maharashtra),3 - Jalgaon,Maharashtra
13,ADV. NAMDEO PANDURANG KOLI,Independent,1212,12,1224,0.1,3 - Jalgaon (Maharashtra),3 - Jalgaon,Maharashtra
14,PATIL SANDIP YUVRAJ,Independent,1098,12,1110,0.09,3 - Jalgaon (Maharashtra),3 - Jalgaon,Maharashtra
15,NOTA,None of the Above,13878,41,13919,1.19,3 - Jalgaon (Maharashtra),3 - Jalgaon,Maharashtra
1,DR JAYANTA KUMAR ROY,Bharatiya Janata Party,763236,3332,766568,48.57,3 - Jalpaiguri (West Bengal),3 - Jalpaiguri,West Bengal
2,NIRMAL CHANDRA ROY,All India Trinamool Congress,677496,2379,679875,43.07,3 - Jalpaiguri (West Bengal),3 - Jalpaiguri,West Bengal
3,DEBRAJ BARMAN,Communist Party of India (Marxist),73629,463,74092,4.69,3 - Jalpaiguri (West Bengal),3 - Jalpaiguri,West Bengal
4,SHIPRA RAY HAKIM,Independent,9890,17,9907,0.63,3 - Jalpaiguri (West Bengal),3 - Jalpaiguri,West Bengal
5,BINOD MALLICK,Bahujan Samaj Party,8537,29,8566,0.54,3 - Jalpaiguri (West Bengal),3 - Jalpaiguri,West Bengal
6,HAREKRISHNA SARKAR,Independent,5837,11,5848,0.37,3 - Jalpaiguri (West Bengal),3 - Jalpaiguri,West Bengal
7,MAHESWAR BARMAN,Independent,4254,13,4267,0.27,3 - Jalpaiguri (West Bengal),3 - Jalpaiguri,West Bengal
8,RAM PRASAD MANDAL,Socialist Unity Centre Of India (COMMUNIST),3815,20,3835,0.24,3 - Jalpaiguri (West Bengal),3 - Jalpaiguri,West Bengal
9,MANABENDRA ROY,Kamatapur People’s Party (United),2899,51,2950,0.19,3 - Jalpaiguri (West Bengal),3 - Jalpaiguri,West Bengal
10,NIRODE CHANDRA ADHIKARY,Independent,2504,13,2517,0.16,3 - Jalpaiguri (West Bengal),3 - Jalpaiguri,West Bengal
11,ADHIR CHANDRA BARMAN,Independent,1911,16,1927,0.12,3 - Jalpaiguri (West Bengal),3 - Jalpaiguri,West Bengal
12,RANJIT BARMAN,Mulnibasi Party of India,1180,9,1189,0.08,3 - Jalpaiguri (West Bengal),3 - Jalpaiguri,West Bengal
13,NOTA,None of the Above,16807,41,16848,1.07,3 - Jalpaiguri (West Bengal),3 - Jalpaiguri,West Bengal
1,KAMLESH JANGDE,Bharatiya Janata Party,675740,2459,678199,48.71,3 - JANJGIR-CHAMPA (Chhattisgarh),3 - JANJGIR-CHAMPA,Chhattisgarh
2,DR. SHIVKUMAR DAHARIYA,Indian National Congress,616131,2068,618199,44.4,3 - JANJGIR-CHAMPA (Chhattisgarh),3 - JANJGIR-CHAMPA,Chhattisgarh
3,DR. ROHIT DAHARIA,Bahujan Samaj Party,48089,412,48501,3.48,3 - JANJGIR-CHAMPA (Chhattisgarh),3 - JANJGIR-CHAMPA,Chhattisgarh
4,ENGINEER REVA KURREY,Independent,8158,1,8159,0.59,3 - JANJGIR-CHAMPA (Chhattisgarh),3 - JANJGIR-CHAMPA,Chhattisgarh
5,AD. T.R. NIRALA,Independent,5792,2,5794,0.42,3 - JANJGIR-CHAMPA (Chhattisgarh),3 - JANJGIR-CHAMPA,Chhattisgarh
6,ANIL MANHAR,Hamar Raj Party,5770,10,5780,0.42,3 - JANJGIR-CHAMPA (Chhattisgarh),3 - JANJGIR-CHAMPA,Chhattisgarh
7,VIDYA DEVI SONI,Independent,4877,4,4881,0.35,3 - JANJGIR-CHAMPA (Chhattisgarh),3 - JANJGIR-CHAMPA,Chhattisgarh
8,MINA CHAUHAN,Independent,2929,2,2931,0.21,3 - JANJGIR-CHAMPA (Chhattisgarh),3 - JANJGIR-CHAMPA,Chhattisgarh
9,ANAND GILHARE,Independent,2876,1,2877,0.21,3 - JANJGIR-CHAMPA (Chhattisgarh),3 - JANJGIR-CHAMPA,Chhattisgarh
10,DEEPAK KUMAR KHUNTE,Aazad Samaj Party (Kanshi Ram),1822,7,1829,0.13,3 - JANJGIR-CHAMPA (Chhattisgarh),3 - JANJGIR-CHAMPA,Chhattisgarh
11,ARVIND KUMAR,Independent,1710,5,1715,0.12,3 - JANJGIR-CHAMPA (Chhattisgarh),3 - JANJGIR-CHAMPA,Chhattisgarh
12,GOPAL PRASAD KHUNTE,Bhartiya Shakti Chetna Party,1471,12,1483,0.11,3 - JANJGIR-CHAMPA (Chhattisgarh),3 - JANJGIR-CHAMPA,Chhattisgarh
13,VIJAYLAXMI SURYAWANSHI NAT,Asankhya Samaj Party,1417,5,1422,0.1,3 - JANJGIR-CHAMPA (Chhattisgarh),3 - JANJGIR-CHAMPA,Chhattisgarh
14,SIMA MAHILANGE,Independent,1333,3,1336,0.1,3 - JANJGIR-CHAMPA (Chhattisgarh),3 - JANJGIR-CHAMPA,Chhattisgarh
15,ADVOCATE SHAILENDRA BANJARE (SHAKTIPUTRA),Shakti Sena (Bharat Desh),1248,5,1253,0.09,3 - JANJGIR-CHAMPA (Chhattisgarh),3 - JANJGIR-CHAMPA,Chhattisgarh
16,VIJAY KUMAR KURRE,Rashtriya Jansabha Party,981,2,983,0.07,3 - JANJGIR-CHAMPA (Chhattisgarh),3 - JANJGIR-CHAMPA,Chhattisgarh
17,BRINDA CHAUHAN,Chhattisgarh Vikas Ganga Rashtriya Party,921,3,924,0.07,3 - JANJGIR-CHAMPA (Chhattisgarh),3 - JANJGIR-CHAMPA,Chhattisgarh
18,JAGJIVAN RAM SATNAMI,Azad Janata Party,833,4,837,0.06,3 - JANJGIR-CHAMPA (Chhattisgarh),3 - JANJGIR-CHAMPA,Chhattisgarh
19,NOTA,None of the Above,5098,39,5137,0.37,3 - JANJGIR-CHAMPA (Chhattisgarh),3 - JANJGIR-CHAMPA,Chhattisgarh
1,BANDI SANJAY KUMAR,Bharatiya Janata Party,578827,6289,585116,44.57,3 - Karimnagar  (Telangana),3 - Karimnagar,Telangana
2,VELCHALA RAJENDER RAO,Indian National Congress,357446,2461,359907,27.41,3 - Karimnagar  (Telangana),3 - Karimnagar,Telangana
3,VINOD KUMAR BOIANAPALLI,Bharat Rashtra Samithi,280867,1296,282163,21.49,3 - Karimnagar  (Telangana),3 - Karimnagar,Telangana
4,ABBADI BUCHI REDDY,Independent,11602,10,11612,0.88,3 - Karimnagar  (Telangana),3 - Karimnagar,Telangana
5,ARUNA THALLAPALLY,Alliance of Democratic Reforms Party,9043,21,9064,0.6900000000000001,3 - Karimnagar  (Telangana),3 - Karimnagar,Telangana
6,KOTA SHYAM KUMAR,Independent,8744,12,8756,0.67,3 - Karimnagar  (Telangana),3 - Karimnagar,Telangana
7,ANOSE KATKOORI,Independent,8699,7,8706,0.66,3 - Karimnagar  (Telangana),3 - Karimnagar,Telangana
8,MAREPALLI MOGILAIAH,Bahujan Samaj Party,8010,99,8109,0.62,3 - Karimnagar  (Telangana),3 - Karimnagar,Telangana
9,RAJENDER POTHURI,Independent,3250,7,3257,0.25,3 - Karimnagar  (Telangana),3 - Karimnagar,Telangana
10,SRAVAN PEDDAPELLY,Bharathiya YuvaKula Dalam,3068,6,3074,0.23,3 - Karimnagar  (Telangana),3 - Karimnagar,Telangana
11,GADDA SATHISH,Independent,2936,9,2945,0.22,3 - Karimnagar  (Telangana),3 - Karimnagar,Telangana
12,ANILREDDY KADTHALA,National Nava Kranthi Party,2747,7,2754,0.21,3 - Karimnagar  (Telangana),3 - Karimnagar,Telangana
13,CHILUVERU SRIKANTH,Dharma Samaj Party,2553,33,2586,0.2,3 - Karimnagar  (Telangana),3 - Karimnagar,Telangana
14,AKSHAY KUMAR MEKALA,Independent,2219,5,2224,0.17,3 - Karimnagar  (Telangana),3 - Karimnagar,Telangana
15,JOURNALIST VIKRAM REDDY VEMULAA,Independent,2090,6,2096,0.16,3 - Karimnagar  (Telangana),3 - Karimnagar,Telangana
16,ASHOK PANCHIKA,Social Justice Party of India,1914,10,1924,0.15,3 - Karimnagar  (Telangana),3 - Karimnagar,Telangana
17,GAVVALA LAXMI,Independent,1738,6,1744,0.13,3 - Karimnagar  (Telangana),3 - Karimnagar,Telangana
18,GATTAIAH YADAV BARIGE,Independent,1688,6,1694,0.13,3 - Karimnagar  (Telangana),3 - Karimnagar,Telangana
19,RANAPRATAP GATTU,Socialist Party (India),1606,7,1613,0.12,3 - Karimnagar  (Telangana),3 - Karimnagar,Telangana
20,GUDISHE MOHAN,Independent,1471,3,1474,0.11,3 - Karimnagar  (Telangana),3 - Karimnagar,Telangana
21,MANASA PERALA,Independent,1106,19,1125,0.09,3 - Karimnagar  (Telangana),3 - Karimnagar,Telangana
22,PODISHETTI SAMMAIAH,Bahujan Mukti Party,994,-,994,0.08,3 - Karimnagar  (Telangana),3 - Karimnagar,Telangana
23,VENKATANARSAIAH DYAGALA @ DEGALA,Independent,926,2,928,0.07,3 - Karimnagar  (Telangana),3 - Karimnagar,Telangana
24,SHIVARATRI SRINIVAS,Independent,887,2,889,0.07,3 - Karimnagar  (Telangana),3 - Karimnagar,Telangana
25,CHINTHA ANILKUMAR,Pyramid Party of India,823,7,830,0.06,3 - Karimnagar  (Telangana),3 - Karimnagar,Telangana
26,CHEEKOTI VARUN KUMAR GUPTA,Telugu Congress Party,783,7,790,0.06,3 - Karimnagar  (Telangana),3 - Karimnagar,Telangana
27,RAPOLE RAMKUMAR BHARADWAJ,Independent,572,3,575,0.04,3 - Karimnagar  (Telangana),3 - Karimnagar,Telangana
28,DEVUNOORI SRINIVASU,Independent,465,-,465,0.04,3 - Karimnagar  (Telangana),3 - Karimnagar,Telangana
29,NOTA,None of the Above,5373,65,5438,0.41,3 - Karimnagar  (Telangana),3 - Karimnagar,Telangana
1,AMRITPAL SINGH,Independent,402600,1830,404430,38.62,3 - Khadoor Sahib (Punjab),3 - Khadoor Sahib,Punjab
2,KULBIR SINGH ZIRA,Indian National Congress,206286,1024,207310,19.8,3 - Khadoor Sahib (Punjab),3 - Khadoor Sahib,Punjab
3,LALJIT SINGH BHULLAR,Aam Aadmi Party,194160,676,194836,18.61,3 - Khadoor Sahib (Punjab),3 - Khadoor Sahib,Punjab
4,VIRSA SINGH VALTOHA,Shiromani Akali Dal,86291,125,86416,8.25,3 - Khadoor Sahib (Punjab),3 - Khadoor Sahib,Punjab
5,MANJIT SINGH MANNA,Bharatiya Janata Party,85810,563,86373,8.25,3 - Khadoor Sahib (Punjab),3 - Khadoor Sahib,Punjab
6,PARAMJIT SINGH,Independent,12522,3,12525,1.2,3 - Khadoor Sahib (Punjab),3 - Khadoor Sahib,Punjab
7,CHAIN SINGH BAINKA,Aas Punjab Party,6728,11,6739,0.64,3 - Khadoor Sahib (Punjab),3 - Khadoor Sahib,Punjab
8,SATNAM SINGH,Bahujan Samaj Party,5021,45,5066,0.48,3 - Khadoor Sahib (Punjab),3 - Khadoor Sahib,Punjab
9,SARABJIT SINGH,Independent,4835,1,4836,0.46,3 - Khadoor Sahib (Punjab),3 - Khadoor Sahib,Punjab
10,GURDIAL SINGH,Communist Party of India,3945,7,3952,0.38,3 - Khadoor Sahib (Punjab),3 - Khadoor Sahib,Punjab
11,ANOKH SINGH KATWAL,Independent,2766,3,2769,0.26,3 - Khadoor Sahib (Punjab),3 - Khadoor Sahib,Punjab
12,GURPREET SINGH,Independent,2609,-,2609,0.25,3 - Khadoor Sahib (Punjab),3 - Khadoor Sahib,Punjab
13,AJIT SINGH,Independent,2528,7,2535,0.24,3 - Khadoor Sahib (Punjab),3 - Khadoor Sahib,Punjab
14,ARUN KUMAR,Independent,2522,3,2525,0.24,3 - Khadoor Sahib (Punjab),3 - Khadoor Sahib,Punjab
15,SURJIT SINGH BHIKHIWIND,Independent,2367,4,2371,0.23,3 - Khadoor Sahib (Punjab),3 - Khadoor Sahib,Punjab
16,KAWALJIT SINGH,Independent,2290,4,2294,0.22,3 - Khadoor Sahib (Punjab),3 - Khadoor Sahib,Punjab
17,HARJINDER SINGH,Independent,1969,1,1970,0.19,3 - Khadoor Sahib (Punjab),3 - Khadoor Sahib,Punjab
18,KANWALJIT SINGH,Independent,1895,6,1901,0.18,3 - Khadoor Sahib (Punjab),3 - Khadoor Sahib,Punjab
19,PARMINDER SINGH,Independent,1802,1,1803,0.17,3 - Khadoor Sahib (Punjab),3 - Khadoor Sahib,Punjab
20,JASWANT SINGH SOHAL,Independent,1637,2,1639,0.16,3 - Khadoor Sahib (Punjab),3 - Khadoor Sahib,Punjab
21,LAKHBIR SINGH,Independent,1420,1,1421,0.14,3 - Khadoor Sahib (Punjab),3 - Khadoor Sahib,Punjab
22,VIKRAMJIT SINGH,Independent,1417,3,1420,0.14,3 - Khadoor Sahib (Punjab),3 - Khadoor Sahib,Punjab
23,VIJAY KUMAR,Independent,1388,-,1388,0.13,3 - Khadoor Sahib (Punjab),3 - Khadoor Sahib,Punjab
24,DILBAGH SINGH,All India Mazdoor Party (Rangreta),1363,11,1374,0.13,3 - Khadoor Sahib (Punjab),3 - Khadoor Sahib,Punjab
25,SIMRANJEET SINGH,Independent,1338,3,1341,0.13,3 - Khadoor Sahib (Punjab),3 - Khadoor Sahib,Punjab
26,MAHINDER SINGH HAMIRA,Independent,1044,2,1046,0.1,3 - Khadoor Sahib (Punjab),3 - Khadoor Sahib,Punjab
27,NAVEEN KUMAR SHARMA,Sanjhi Virasat Party,823,1,824,0.08,3 - Khadoor Sahib (Punjab),3 - Khadoor Sahib,Punjab
28,NOTA,None of the Above,3420,32,3452,0.33,3 - Khadoor Sahib (Punjab),3 - Khadoor Sahib,Punjab
1,HARENDRA SINGH MALIK,Samajwadi Party,469804,917,470721,43.64,3 - Muzaffarnagar (Uttar Pradesh),3 - Muzaffarnagar,Uttar Pradesh
2,SANJEEV KUMAR BALYAN,Bharatiya Janata Party,443815,2234,446049,41.35,3 - Muzaffarnagar (Uttar Pradesh),3 - Muzaffarnagar,Uttar Pradesh
3,DARA SINGH PRAJAPATI,Bahujan Samaj Party,143323,384,143707,13.32,3 - Muzaffarnagar (Uttar Pradesh),3 - Muzaffarnagar,Uttar Pradesh
4,SUNIL TYAGI,Independent,7131,36,7167,0.66,3 - Muzaffarnagar (Uttar Pradesh),3 - Muzaffarnagar,Uttar Pradesh
5,KAVITA,Rashtrawadi Janlok Party (Satya),1970,30,2000,0.19,3 - Muzaffarnagar (Uttar Pradesh),3 - Muzaffarnagar,Uttar Pradesh
6,SHASHIKANT SHAMAR,Independent,1429,2,1431,0.13,3 - Muzaffarnagar (Uttar Pradesh),3 - Muzaffarnagar,Uttar Pradesh
7,BIRBAL SINGH,Vishal Janta Party,1419,2,1421,0.13,3 - Muzaffarnagar (Uttar Pradesh),3 - Muzaffarnagar,Uttar Pradesh
8,NEEL KUMAR,Jai Samta Party,858,3,861,0.08,3 - Muzaffarnagar (Uttar Pradesh),3 - Muzaffarnagar,Uttar Pradesh
9,RESHU SHARMA,Independent,679,5,684,0.06,3 - Muzaffarnagar (Uttar Pradesh),3 - Muzaffarnagar,Uttar Pradesh
10,ANKUR,Independent,362,10,372,0.03,3 - Muzaffarnagar (Uttar Pradesh),3 - Muzaffarnagar,Uttar Pradesh
11,MANUJ VERMA,Independent,333,7,340,0.03,3 - Muzaffarnagar (Uttar Pradesh),3 - Muzaffarnagar,Uttar Pradesh
12,NOTA,None of the Above,3884,32,3916,0.36,3 - Muzaffarnagar (Uttar Pradesh),3 - Muzaffarnagar,Uttar Pradesh
1,DABHI BHARATSINHJI SHANKARJI,Bharatiya Janata Party,585591,6356,591947,49.61,3 - Patan (Gujarat),3 - Patan,Gujarat
2,CHANDANJI TALAJI THAKOR,Indian National Congress,555134,4937,560071,46.94,3 - Patan (Gujarat),3 - Patan,Gujarat
3,BALVANT CHHATRALIYA,Bahujan Samaj Party,5811,54,5865,0.49,3 - Patan (Gujarat),3 - Patan,Gujarat
4,SOYAB HASAM BHORANIYA,Independent,5473,1,5474,0.46,3 - Patan (Gujarat),3 - Patan,Gujarat
5,THAKOR KISHANBHAI KALUBHAI,Independent,2909,7,2916,0.24,3 - Patan (Gujarat),3 - Patan,Gujarat
6,SHARMA RAKESHBHAI,Rashtriya Samaj Paksha,2765,9,2774,0.23,3 - Patan (Gujarat),3 - Patan,Gujarat
7,GHAGHA MASIHULLAH ABDULHAMID,Social Democratic Party Of India,2305,7,2312,0.19,3 - Patan (Gujarat),3 - Patan,Gujarat
8,CHANDURA DHANJIBHAI LAXAMANBHAI,Independent,2135,25,2160,0.18,3 - Patan (Gujarat),3 - Patan,Gujarat
9,ABDULHAQ ISMAIL NEDARIYA,Independent,1510,14,1524,0.13,3 - Patan (Gujarat),3 - Patan,Gujarat
10,ABDULKUDDUS,Independent,1358,2,1360,0.11,3 - Patan (Gujarat),3 - Patan,Gujarat
11,NOTA,None of the Above,16382,340,16722,1.4,3 - Patan (Gujarat),3 - Patan,Gujarat
1,RADHA MOHAN SINGH,Bharatiya Janata Party,540598,1595,542193,50.5,3 - Purvi Champaran (Bihar),3 - Purvi Champaran,Bihar
2,DR RAJESH KUMAR,Vikassheel Insaan Party,451118,2788,453906,42.28,3 - Purvi Champaran (Bihar),3 - Purvi Champaran,Bihar
3,MOHAMMAD AJMER ALAM,Independent,13030,17,13047,1.22,3 - Purvi Champaran (Bihar),3 - Purvi Champaran,Bihar
4,VIJAY KUMAR SAHANI,Rashtriya Jansambhavna Party,8158,27,8185,0.76,3 - Purvi Champaran (Bihar),3 - Purvi Champaran,Bihar
5,RAJESH SINGH,Independent,7176,6,7182,0.67,3 - Purvi Champaran (Bihar),3 - Purvi Champaran,Bihar
6,GYANTI DEVI,Prabuddha Republican Party,6963,45,7008,0.65,3 - Purvi Champaran (Bihar),3 - Purvi Champaran,Bihar
7,PAWAN KUMAR,Bhartiya Sarthak Party,4895,19,4914,0.46,3 - Purvi Champaran (Bihar),3 - Purvi Champaran,Bihar
8,MUNESHWAR TIWARI,Independent,4017,5,4022,0.37,3 - Purvi Champaran (Bihar),3 - Purvi Champaran,Bihar
9,RAJESH KUMAR S/O GAGANLAL SAHNI,Independent,3930,4,3934,0.37,3 - Purvi Champaran (Bihar),3 - Purvi Champaran,Bihar
10,RAJESH KUMAR S/O VISHUN SAH,Independent,3489,3,3492,0.33,3 - Purvi Champaran (Bihar),3 - Purvi Champaran,Bihar
11,NAWAL KISHOR PRASAD,Viro Ke Vir Indian Party,3449,15,3464,0.32,3 - Purvi Champaran (Bihar),3 - Purvi Champaran,Bihar
12,NIKESH KUMAR,Independent,2539,14,2553,0.24,3 - Purvi Champaran (Bihar),3 - Purvi Champaran,Bihar
13,NOTA,None of the Above,19729,59,19788,1.84,3 - Purvi Champaran (Bihar),3 - Purvi Champaran,Bihar
1,DHARMENDRA PRADHAN,Bharatiya Janata Party,587827,4335,592162,49.48,3 - Sambalpur (Odisha),3 - Sambalpur,Odisha
2,PRANAB PRAKASH DAS,Biju Janata Dal,471198,1128,472326,39.47,3 - Sambalpur (Odisha),3 - Sambalpur,Odisha
3,NAGENDRA KUMAR PRADHAN,Indian National Congress,88573,540,89113,7.45,3 - Sambalpur (Odisha),3 - Sambalpur,Odisha
4,SADANAND RANBIDA,Bahujan Samaj Party,4776,19,4795,0.4,3 - Sambalpur (Odisha),3 - Sambalpur,Odisha
5,SRIRAM PANDEY,Independent,4700,2,4702,0.39,3 - Sambalpur (Odisha),3 - Sambalpur,Odisha
6,SHUSHIL KUMAR BABU,Independent,4298,5,4303,0.36,3 - Sambalpur (Odisha),3 - Sambalpur,Odisha
7,GNYANENDRA BEHERA,Independent,3331,3,3334,0.28,3 - Sambalpur (Odisha),3 - Sambalpur,Odisha
8,NABAKISHORE PRADHAN,Socialist Unity Centre Of India (COMMUNIST),3151,6,3157,0.26,3 - Sambalpur (Odisha),3 - Sambalpur,Odisha
9,ATMA RAM SUPKAR,Independent,2053,6,2059,0.17,3 - Sambalpur (Odisha),3 - Sambalpur,Odisha
10,PURUSHOTTAM PATRA,Kosal Janata Dal,1731,4,1735,0.14,3 - Sambalpur (Odisha),3 - Sambalpur,Odisha
11,RAKESH BAG,Bharatiya Nyay-Adhikar Raksha Party,1704,4,1708,0.14,3 - Sambalpur (Odisha),3 - Sambalpur,Odisha
12,SUBASH MOHAPATRA,National Jan Dal,1669,24,1693,0.14,3 - Sambalpur (Odisha),3 - Sambalpur,Odisha
13,LAXMAN KUMAR BHOI,Paschimanchal Vikas Party,1662,20,1682,0.14,3 - Sambalpur (Odisha),3 - Sambalpur,Odisha
14,KHAGESWAR BEHERA,Rashtriya Manav Party,1492,3,1495,0.12,3 - Sambalpur (Odisha),3 - Sambalpur,Odisha
15,NOTA,None of the Above,12451,32,12483,1.04,3 - Sambalpur (Odisha),3 - Sambalpur,Odisha
1,SELJA,Indian National Congress,732298,1525,733823,54.17,3 - SIRSA (Haryana),3 - SIRSA,Haryana
2,ASHOK TANWAR,Bharatiya Janata Party,464472,854,465326,34.35,3 - SIRSA (Haryana),3 - SIRSA,Haryana
3,SANDEEP LOT VALMIKI,Indian National Lok Dal,92279,174,92453,6.82,3 - SIRSA (Haryana),3 - SIRSA,Haryana
4,RAMESH KHATAK,Jannayak Janta Party,20049,31,20080,1.48,3 - SIRSA (Haryana),3 - SIRSA,Haryana
5,LILU RAM ASAKHERA,Bahujan Samaj Party,10120,31,10151,0.75,3 - SIRSA (Haryana),3 - SIRSA,Haryana
6,RAHUL CHOUHAN,Independent,6159,1,6160,0.45,3 - SIRSA (Haryana),3 - SIRSA,Haryana
7,KARNAIL SINGH ODHAN,Independent,4152,14,4166,0.31,3 - SIRSA (Haryana),3 - SIRSA,Haryana
8,SATPAL LADWAL,Independent,3413,-,3413,0.25,3 - SIRSA (Haryana),3 - SIRSA,Haryana
9,MISTRI DAULAT RAM ROLAN,Peoples Party of India (Democratic),3058,3,3061,0.23,3 - SIRSA (Haryana),3 - SIRSA,Haryana
10,JOGINDER RAM,Independent,2140,2,2142,0.16,3 - SIRSA (Haryana),3 - SIRSA,Haryana
11,RAN SINGH PANWAR,Independent,1548,2,1550,0.11,3 - SIRSA (Haryana),3 - SIRSA,Haryana
